product name,product category,product price,product link,product image
Dell D2020H 19.5-inch HD+ Monitor,Monitors,9500,https://www.startech.com.bd/dell-20-d2020h-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/dell/d2020h/d2020h-01-228x228.webp
"Acer SA222Q Ultra Slim 21.5"" 100Hz IPS FHD Monitor",Monitors,9800,https://www.startech.com.bd/acer-sa222q-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/acer/sa222qe/sa222qe-white-01-228x228.webp
HP V22v G5 21.5 Inch FHD Monitor,Monitors,11000,https://www.startech.com.bd/hp-v22v-g5-21-5-inch-fhd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/hp-monitor/v22v-g5/v22v-g5-228x228.webp
Dahua DHI-LM22-B201DW 21.45 inch FHD IPS Monitor,Monitors,10000,https://www.startech.com.bd/dahua-dhi-lm22-b201dw-fhd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/dahua/dhi-lm22-b201dw/dhi-lm22-b201dw-01-228x228.webp
"ViewSonic VA2209-H 22"" 100HZ IPS Full HD Monitor",Monitors,10200,https://www.startech.com.bd/viewsonic-va2209-h-100hz-22-inch-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/viewsonic/va2209-h-100hz/va2209-h-01-228x228.webp
Philips 222V8LA 21.5-inch Full HD 75Hz LED Monitor,Monitors,11200,https://www.startech.com.bd/philips-222v8la-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/philips/222v8la/222v8la-03-228x228.webp
"Philips 22E1N1100LA 21.5"" 100Hz FHD LED Monitor",Monitors,11500,https://www.startech.com.bd/philips-22e1n1100la-100hz-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/philips/22e1n1100la/22e1n1100la-01-228x228.webp
"Samsung LS22D300GAW 21.5"" 100Hz FHD IPS Monitor",Monitors,11500,https://www.startech.com.bd/samsung-ls22d300gaw-21-5-inch-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/samsung/ls22d300gaw/ls22d300gaw-01-228x228.webp
"Xiaomi Redmi 1A 23.8"" IPS 100Hz Monitor",Monitors,11400,https://www.startech.com.bd/xiaomi-redmi-1a-100hz-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/xiaomi/redmi-1a-100hz/redmi-1a-228x228.webp
BenQ GW2283 21.5 Inch Eye-care Stylish Full HD IPS Monitor,Monitors,12000,https://www.startech.com.bd/benq-gw2283-ips-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/benq/gw2283/gw2283-228x228.jpg
"Lenovo L22i-40 21.5"" 75Hz IPS WLED Borderless Monitor",Monitors,11700,https://www.startech.com.bd/lenovo-l22i-40-borderless-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/lenovo/l22i-40/l22i-40-01-228x228.webp
"ViewSonic VX2276-SH 2 22"" 100Hz FHD IPS Monitor",Monitors,12500,https://www.startech.com.bd/viewsonic-vx2276-sh-2-22-inch-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/viewsonic/vx2276-sh/vx2276-sh-01-228x228.jpg
"ViewSonic VX2276-SH 22"" FHD IPS Monitor",Monitors,12400,https://www.startech.com.bd/viewsonic-vx2276-sh-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/viewsonic/vx2276-sh/vx2276-sh-01-228x228.jpg
"ASUS VY229HE 21.45"" 75Hz FHD IPS Eye Care Monitor",Monitors,13400,https://www.startech.com.bd/asus-vy229he-22-inch-eye-care-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/asus/vy229he/vy229he-01-228x228.webp
LG 22MK600M-B 21.5 inch IPS Full HD LED Monitor,Monitors,13400,https://www.startech.com.bd/lg-22mk600m-full-hd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/lg-monitor/22mk600m-b/22mk600m-b-001-228x228.webp
